source,target,following,followed_by
SenJohnMcCain,brianschatz,FALSE,FALSE
SenJohnMcCain,maziehirono,TRUE,FALSE
SenJohnMcCain,MikeCrapo,TRUE,FALSE
SenJohnMcCain,SenatorRisch,FALSE,FALSE
SenJohnMcCain,SenDuckworth,TRUE,FALSE
SenJohnMcCain,SenatorDurbin,TRUE,FALSE
SenJohnMcCain,SenDonnelly,FALSE,FALSE
SenJohnMcCain,SenToddYoung,FALSE,FALSE
SenJohnMcCain,ChuckGrassley,TRUE,FALSE
SenJohnMcCain,joniernst,FALSE,FALSE
SenJohnMcCain,SenPatRoberts,TRUE,FALSE
SenJohnMcCain,JerryMoran,TRUE,FALSE
SenJohnMcCain,SenateMajLdr,TRUE,TRUE
SenJohnMcCain,RandPaul,FALSE,FALSE
SenJohnMcCain,BillCassidy,FALSE,FALSE
SenJohnMcCain,SenJohnKennedy,TRUE,FALSE
SenJohnMcCain,SenAngusKing,TRUE,FALSE
SenJohnMcCain,SenatorCollins,TRUE,TRUE
SenJohnMcCain,ChrisVanHollen,FALSE,FALSE
SenJohnMcCain,SenatorCardin,TRUE,TRUE
SenJohnMcCain,SenMarkey,TRUE,FALSE
SenJohnMcCain,SenWarren,TRUE,FALSE
SenJohnMcCain,SenGaryPeters,FALSE,FALSE
SenJohnMcCain,SenStabenow,TRUE,FALSE
SenJohnMcCain,amyklobuchar,TRUE,FALSE
SenJohnMcCain,SenTinaSmith,FALSE,FALSE
SenJohnMcCain,SenThadCochran,TRUE,FALSE
SenJohnMcCain,SenatorWicker,TRUE,TRUE
SenJohnMcCain,clairecmc,FALSE,TRUE
SenJohnMcCain,RoyBlunt,TRUE,FALSE
SenJohnMcCain,SteveDaines,TRUE,FALSE
SenJohnMcCain,SenatorTester,TRUE,FALSE
SenJohnMcCain,SenatorFischer,TRUE,TRUE
SenJohnMcCain,BenSasse,FALSE,FALSE
SenJohnMcCain,SenCortezMasto,TRUE,FALSE
SenJohnMcCain,SenDeanHeller,TRUE,FALSE
SenJohnMcCain,SenatorShaheen,TRUE,FALSE
SenJohnMcCain,SenatorHassan,TRUE,FALSE
SenJohnMcCain,CoryBooker,TRUE,TRUE
SenJohnMcCain,SenatorMenendez,TRUE,FALSE
SenJohnMcCain,MartinHeinrich,TRUE,FALSE
SenJohnMcCain,SenatorTomUdall,TRUE,FALSE
SenJohnMcCain,SenSchumer,TRUE,FALSE
SenJohnMcCain,SenGillibrand,TRUE,FALSE
SenJohnMcCain,SenatorBurr,TRUE,FALSE
SenJohnMcCain,SenThomTillis,TRUE,TRUE
SenJohnMcCain,SenatorHeitkamp,FALSE,FALSE
SenJohnMcCain,SenJohnHoeven,TRUE,FALSE
SenJohnMcCain,SenSherrodBrown,TRUE,FALSE
SenJohnMcCain,senrobportman,TRUE,TRUE
SenJohnMcCain,JimInhofe,FALSE,FALSE
SenJohnMcCain,SenatorLankford,TRUE,FALSE
SenJohnMcCain,RonWyden,FALSE,FALSE
SenJohnMcCain,SenJeffMerkley,TRUE,FALSE
SenJohnMcCain,SenBobCasey,TRUE,FALSE
SenJohnMcCain,SenToomey,TRUE,FALSE
SenJohnMcCain,SenJackReed,TRUE,FALSE
SenJohnMcCain,SenWhitehouse,TRUE,TRUE
SenJohnMcCain,GrahamBlog,TRUE,TRUE
SenJohnMcCain,SenatorTimScott,TRUE,FALSE
